Position, Position error, Orientation error, Joint error
[0 0 0], [ 0.007  0.008 -0.005], [-0.    -0.006  0.    -0.   ], [ 0.007  0.014  0.002  0.012 -0.002  0.008  0.018 -0.     0.   ]
[0.1 0.  0. ], [ 0.009  0.009 -0.005], [ 0.    -0.006  0.001 -0.001], [ 0.011  0.014  0.001  0.01  -0.002  0.008  0.018 -0.     0.   ]
[0.2 0.  0. ], [ 0.01   0.011 -0.006], [ 0.001 -0.005  0.001 -0.001], [ 0.015  0.014 -0.002  0.007 -0.002  0.008  0.019 -0.     0.   ]
[0.3 0.  0. ], [-0.01  -0.002 -0.007], [ 0.008  0.    -0.016  0.016], [ 0.007  0.005  0.    -0.044 -0.001 -0.     0.009  0.    -0.   ]
[0.4 0.  0. ], [-0.105 -0.232 -0.068], [ 0.163  0.053 -0.186  0.291], [ 0.     0.    -0.    -0.714 -0.    -0.156 -0.    -0.     0.   ]
[0.5 0.  0. ], [-0.022 -0.285 -0.068], [ 0.16   0.063 -0.186  0.292], [-0.     0.    -0.    -0.716  0.    -0.135 -0.    -0.     0.   ]
[0.6 0.  0. ], [ 0.066 -0.329 -0.068], [ 0.156  0.072 -0.186  0.291], [ 0.    -0.     0.    -0.716 -0.    -0.112  0.     0.     0.   ]
[0.7 0.  0. ], [ 0.158 -0.366 -0.068], [ 0.153  0.079 -0.186  0.291], [-0.     0.     0.    -0.716 -0.    -0.089 -0.    -0.     0.   ]
[0.  0.1 0. ], [ 0.006  0.01  -0.004], [ 0.    -0.007  0.001 -0.001], [ 0.008  0.015  0.003  0.015 -0.001  0.007  0.021 -0.     0.   ]
[0.1 0.1 0. ], [ 0.007  0.011 -0.004], [ 0.001 -0.007  0.001 -0.001], [ 0.012  0.014  0.001  0.014 -0.001  0.007  0.021 -0.     0.   ]
[0.2 0.1 0. ], [ 0.008  0.013 -0.005], [ 0.001 -0.006  0.002 -0.002], [ 0.015  0.014 -0.001  0.011 -0.002  0.008  0.021 -0.     0.   ]
[0.3 0.1 0. ], [ 0.01   0.015 -0.006], [ 0.002 -0.005  0.002 -0.002], [ 0.02   0.013 -0.002  0.007 -0.001  0.008  0.02  -0.     0.   ]
[0.4 0.1 0. ], [-0.12  -0.189 -0.061], [ 0.15   0.071 -0.171  0.257], [ 0.    -0.     0.    -0.637  0.    -0.181  0.     0.    -0.   ]
[0.5 0.1 0. ], [-0.04  -0.261 -0.067], [ 0.151  0.078 -0.187  0.292], [-0.     0.    -0.    -0.716  0.    -0.149 -0.    -0.     0.   ]
[0.6 0.1 0. ], [ 0.053 -0.301 -0.067], [ 0.147  0.086 -0.187  0.292], [-0.     0.     0.    -0.716 -0.    -0.125 -0.    -0.     0.   ]
[0.7 0.1 0. ], [ 0.149 -0.334 -0.067], [ 0.144  0.092 -0.186  0.292], [-0.     0.     0.    -0.716 -0.    -0.101 -0.    -0.     0.   ]
[0.  0.2 0. ], [ 0.004  0.011 -0.002], [ 0.001 -0.008  0.001 -0.001], [ 0.009  0.015  0.002  0.018 -0.001  0.007  0.024 -0.     0.   ]
[0.1 0.2 0. ], [ 0.005  0.013 -0.003], [ 0.002 -0.008  0.002 -0.002], [ 0.013  0.015  0.001  0.016 -0.001  0.007  0.023 -0.     0.   ]
[0.2 0.2 0. ], [ 0.006  0.015 -0.004], [ 0.002 -0.007  0.003 -0.002], [ 0.017  0.014 -0.001  0.014 -0.001  0.008  0.023 -0.     0.   ]
[0.3 0.2 0. ], [ 0.007  0.018 -0.005], [ 0.002 -0.006  0.003 -0.003], [ 0.021  0.014 -0.002  0.011 -0.002  0.008  0.022 -0.     0.   ]
[0.4 0.2 0. ], [ 0.005  0.023 -0.008], [ 0.002 -0.002  0.004 -0.004], [ 0.027  0.014  0.001  0.007 -0.002  0.009  0.023 -0.     0.   ]
[0.5 0.2 0. ], [-0.05  -0.246 -0.065], [ 0.139  0.094 -0.186  0.291], [-0.    -0.    -0.    -0.712 -0.    -0.161  0.     0.    -0.   ]
[0.6 0.2 0. ], [ 0.047 -0.281 -0.065], [ 0.136  0.1   -0.187  0.292], [-0.     0.     0.    -0.716 -0.    -0.135 -0.    -0.     0.   ]
