Position, Position error, Orientation error, Joint error
[0 0 0], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.  0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.  0. ], [-0.  0. -0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.  0. ], [-0.002  0.002 -0.   ], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.  0. ], [ 0.048 -0.039  0.   ], [0.008 0.001 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.  0. ], [ 0.112 -0.078  0.001], [0.019 0.003 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.  0. ], [ 0.183 -0.111  0.001], [0.029 0.007 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.  0. ], [ 0.259 -0.141  0.001], [0.039 0.012 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.1 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.1 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.1 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.1 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.1 0. ], [ 0.007 -0.004  0.   ], [ 0.001  0.     0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.1 0. ], [ 0.076 -0.042  0.001], [0.012 0.003 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.1 0. ], [ 0.152 -0.075  0.001], [0.022 0.008 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.1 0. ], [ 0.232 -0.102  0.001], [0.033 0.013 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.2 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.2 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.2 0. ], [-0.  0.  0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.2 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.2 0. ], [-0.004  0.002 -0.   ], [-0.001 -0.    -0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.2 0. ], [ 0.043 -0.018  0.   ], [0.006 0.002 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.2 0. ], [ 0.124 -0.046  0.001], [0.017 0.008 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.2 0. ], [ 0.209 -0.069  0.001], [0.027 0.014 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.3 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.3 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.3 0. ], [-0.  0.  0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.3 0. ], [-0.  0.  0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.3 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.3 0. ], [ 0.015 -0.004  0.   ], [ 0.002  0.001  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.3 0. ], [ 0.102 -0.026  0.001], [0.012 0.007 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.3 0. ], [ 0.191 -0.043  0.001], [0.023 0.014 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.4 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.4 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.4 0. ], [-0.  0.  0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.4 0. ], [-0.  0.  0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.4 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.4 0. ], [-0.004  0.001 -0.   ], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.4 0. ], [ 0.087 -0.011  0.001], [0.01  0.007 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.4 0. ], [ 0.179 -0.021  0.001], [0.02  0.015 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.5 0. ], [-0. -0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.5 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.5 0. ], [-0.  0.  0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.5 0. ], [-0.  0.  0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.5 0. ], [-0.004 -0.    -0.   ], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.5 0. ], [-0.012  0.    -0.   ], [-0.001 -0.001  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.5 0. ], [ 0.081 -0.001  0.001], [0.008 0.008 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.5 0. ], [ 0.174 -0.002  0.001], [0.017 0.017 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.6 0. ], [-0. -0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.6 0. ], [-0. -0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.6 0. ], [-0. -0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.6 0. ], [-0. -0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.6 0. ], [-0. -0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.6 0. ], [-0.005 -0.001 -0.   ], [-0.    -0.001  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.6 0. ], [0.085 0.009 0.001], [0.007 0.009 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.6 0. ], [0.177 0.017 0.001], [0.016 0.019 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.7 0. ], [-0. -0. -0.], [ 0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.7 0. ], [-0. -0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.7 0. ], [-0.005 -0.002 -0.   ], [-0.    -0.001 -0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.7 0. ], [0.061 0.022 0.001], [0.004 0.008 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.7 0. ], [0.147 0.044 0.001], [0.01  0.019 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.7 0. ], [0.012 0.003 0.   ], [ 0.001  0.001 -0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.7 0. ], [0.098 0.022 0.001], [0.007 0.012 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.7 0. ], [0.188 0.038 0.001], [0.015 0.022 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.8 0. ], [-0. -0. -0.], [ 0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.8 0. ], [-0.001 -0.001 -0.   ], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.8 0. ], [0.02  0.013 0.   ], [ 0.001  0.003  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.8 0. ], [0.09  0.049 0.001], [0.004 0.014 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.8 0. ], [0.169 0.077 0.001], [0.009 0.024 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.8 0. ], [0.253 0.1   0.001], [0.015 0.034 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.8 0. ], [0.339 0.118 0.002], [0.022 0.044 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.8 0. ], [0.205 0.064 0.001], [0.014 0.026 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.9 0. ], [-0. -0. -0.], [ 0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.9 0. ], [0.011 0.013 0.   ], [-0.     0.002  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.9 0. ], [0.06  0.053 0.001], [0.001 0.011 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.9 0. ], [0.123 0.09  0.001], [0.003 0.021 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.9 0. ], [0.196 0.12  0.001], [0.007 0.031 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.9 0. ], [0.274 0.145 0.002], [0.013 0.041 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
