Position, Position error, Orientation error, Joint error
[0 0 0], [ 0.014  0.013 -0.011], [-0.001 -0.008  0.002 -0.002], [-0.002  0.016  0.024  0.003  0.018 -0.004  0.017  0.027  0.     0.   ]
[0.1 0.  0. ], [ 0.015  0.014 -0.011], [-0.    -0.008  0.002 -0.002], [ 0.     0.019  0.024 -0.001  0.014 -0.004  0.017  0.027  0.    -0.   ]
[0.2 0.  0. ], [ 0.019  0.017 -0.012], [ 0.001 -0.005  0.004 -0.004], [ 0.008  0.02   0.024 -0.002  0.011 -0.004  0.018  0.026  0.    -0.   ]
[0.3 0.  0. ], [ 0.023  0.02  -0.014], [ 0.001 -0.     0.006 -0.005], [ 0.017  0.018  0.024  0.001  0.007 -0.005  0.018  0.027  0.     0.   ]
[0.4 0.  0. ], [-0.171 -0.174 -0.066], [ 0.164  0.039 -0.185  0.288], [-0.     0.    -0.     0.    -0.706  0.    -0.176 -0.     0.    -0.   ]
[0.5 0.  0. ], [-0.143 -0.212 -0.068], [ 0.167  0.035 -0.189  0.298], [ 0.    -0.    -0.    -0.    -0.729 -0.    -0.16  -0.    -0.    -0.   ]
[0.6 0.  0. ], [-0.073 -0.264 -0.066], [ 0.164  0.045 -0.187  0.292], [-0.    -0.    -0.     0.    -0.717 -0.    -0.141 -0.    -0.    -0.   ]
[0.7 0.  0. ], [ 0.003 -0.315 -0.066], [ 0.161  0.054 -0.187  0.292], [-0.     0.    -0.     0.    -0.716  0.    -0.121  0.     0.    -0.   ]
[0.  0.1 0. ], [ 0.006  0.009 -0.005], [ 0.    -0.006  0.001 -0.001], [-0.002  0.01   0.014  0.001  0.012 -0.002  0.008  0.016  0.     0.   ]
[0.1 0.1 0. ], [ 0.008  0.01  -0.005], [ 0.001 -0.006  0.002 -0.002], [-0.     0.012  0.014 -0.002  0.01  -0.002  0.008  0.016  0.     0.   ]
[0.2 0.1 0. ], [ 0.008  0.011 -0.006], [ 0.002 -0.005  0.001 -0.001], [ 0.001  0.013  0.014 -0.002  0.006 -0.001  0.009  0.016  0.    -0.   ]
