Position, Position error, Orientation error, Joint error
[0 0 0], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.  0. ], [-0.  0. -0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.  0. ], [-0.  0. -0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.  0. ], [-0.  0. -0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.  0. ], [-0.001  0.001 -0.   ], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.  0. ], [ 0.031 -0.031  0.   ], [0.006 0.    0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.  0. ], [ 0.084 -0.074  0.001], [0.015 0.001 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.  0. ], [ 0.145 -0.113  0.001], [0.025 0.003 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.1 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.1 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.1 0. ], [-0.  0. -0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.1 0. ], [-0.  0. -0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.1 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.1 0. ], [-0.001  0.001 -0.   ], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.1 0. ], [ 0.043 -0.032  0.   ], [0.007 0.001 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.1 0. ], [ 0.107 -0.072  0.001], [0.018 0.004 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.2 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.2 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.2 0. ], [-0.  0. -0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.2 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.2 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.2 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.2 0. ], [ 0.006 -0.003  0.   ], [ 0.001  0.     0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.2 0. ], [ 0.071 -0.039  0.001], [0.011 0.003 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.3 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.3 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.3 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.3 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.3 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.3 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.3 0. ], [-0.001  0.    -0.   ], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.3 0. ], [ 0.036 -0.016  0.   ], [0.005 0.002 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.4 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.4 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.4 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.4 0. ], [-0.001  0.    -0.   ], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.4 0. ], [-0.  0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.4 0. ], [-0.  0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.4 0. ], [-0.  0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.4 0. ], [ 0.01  -0.003  0.   ], [ 0.001  0.001 -0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.5 0. ], [-0.  0.  0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.5 0. ], [-0.  0.  0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.5 0. ], [-0.  0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.5 0. ], [-0.  0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.5 0. ], [-0.  0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.5 0. ], [-0.  0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.5 0. ], [-0.  0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.5 0. ], [ 0.001 -0.     0.   ], [ 0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  0.6 0. ], [-0.  0.  0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 0.6 0. ], [-0. -0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.6 0. ], [-0. -0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.6 0. ], [-0. -0. -0.], [-0. -0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
